epoch,step,train_acc,train_loss,val_acc,val_loss
0,1999,,,0.5016250014305115,0.693204939365387
0,1999,0.4997890591621399,0.6933493614196777,,
1,3999,,,0.4983749985694885,0.6931706666946411
1,3999,0.4998203217983246,0.6932204961776733,,
